s,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Uttar_Pradesh,Meerut,"Pallavpuram Phase 2, Meerut - UPPCB",24-02-2026 15:00,29.06351,77.709723,PM2.5,47,172,108
India,Uttar_Pradesh,Meerut,"Pallavpuram Phase 2, Meerut - UPPCB",24-02-2026 15:00,29.06351,77.709723,NH3,8,14,12
India,Uttar_Pradesh,Moradabad,"Buddhi Vihar, Moradabad - UPPCB",24-02-2026 15:00,28.83526,78.7446,PM2.5,47,285,113
India,Uttar_Pradesh,Moradabad,"Buddhi Vihar, Moradabad - UPPCB",24-02-2026 15:00,28.83526,78.7446,OZONE,10,27,14
India,Uttar_Pradesh,Moradabad,"Employment Office, Moradabad - UPPCB",24-02-2026 15:00,28.88528,78.7388,PM10,100,200,140
India,Uttar_Pradesh,Moradabad,"Employment Office, Moradabad - UPPCB",24-02-2026 15:00,28.88528,78.7388,NH3,4,4,4
India,Uttar_Pradesh,Moradabad,"Jigar Colony, Moradabad - UPPCB",24-02-2026 15:00,28.856664,78.772638,NO2,24,25,25
India,Uttar_Pradesh,Moradabad,"Kashiram Nagar, Moradabad - UPPCB",24-02-2026 15:00,28.849399,78.742362,SO2,110,122,114
India,Uttar_Pradesh,Moradabad,"Kashiram Nagar, Moradabad - UPPCB",24-02-2026 15:00,28.849399,78.742362,CO,26,92,40
India,Uttar_Pradesh,Moradabad,"Kashiram Nagar, Moradabad - UPPCB",24-02-2026 15:00,28.849399,78.742362,OZONE,9,78,21
India,Uttar_Pradesh,Muzaffarnagar,"New Mandi, Muzaffarnagar - UPPCB",24-02-2026 15:00,29.4723508,77.7194031,NO2,17,74,42
India,Uttar_Pradesh,Noida,"Sector - 125, Noida - UPPCB",24-02-2026 15:00,28.5447608,77.3231257,NO2,27,177,88
India,Uttar_Pradesh,Noida,"Sector - 125, Noida - UPPCB",24-02-2026 15:00,28.5447608,77.3231257,NH3,3,4,3
India,Uttar_Pradesh,Greater Noida,"Knowledge Park - III, Greater Noida - UPPCB",24-02-2026 15:00,28.47272,77.482,PM2.5,68,326,213
India,Uttar_Pradesh,Greater Noida,"Knowledge Park - III, Greater Noida - UPPCB",24-02-2026 15:00,28.47272,77.482,NH3,7,22,12
India,Uttar_Pradesh,Greater Noida,"Knowledge Park - III, Greater Noida - UPPCB",24-02-2026 15:00,28.47272,77.482,CO,4,133,38
India,Uttar_Pradesh,Greater Noida,"Knowledge Park - V, Greater Noida - UPPCB",24-02-2026 15:00,28.557054,77.453663,PM10,142,500,287
India,Uttar_Pradesh,Greater Noida,"Knowledge Park - V, Greater Noida - UPPCB",24-02-2026 15:00,28.557054,77.453663,NO2,57,121,90
India,Uttar_Pradesh,Hapur,"Anand Vihar, Hapur - UPPCB",24-02-2026 15:00,28.725645,77.749675,NH3,7,11,9
India,Uttar_Pradesh,Jhansi,"Shivaji Nagar, Jhansi - UPPCB",24-02-2026 15:00,25.4547,78.6039,NO2,6,6,6
India,Uttar_Pradesh,Jhansi,"Shivaji Nagar, Jhansi - UPPCB",24-02-2026 15:00,25.4547,78.6039,OZONE,2,251,2
India,Uttar_Pradesh,Kanpur,"FTI Kidwai Nagar, Kanpur - UPPCB",24-02-2026 15:00,26.428282,80.327067,PM2.5,29,180,81
India,Uttar_Pradesh,Kanpur,"NSI Kalyanpur, Kanpur - UPPCB",24-02-2026 15:00,26.509954,80.249612,NO2,24,25,25
India,Uttar_Pradesh,Kanpur,"NSI Kalyanpur, Kanpur - UPPCB",24-02-2026 15:00,26.509954,80.249612,SO2,7,31,15
India,Uttar_Pradesh,Kanpur,"NSI Kalyanpur, Kanpur - UPPCB",24-02-2026 15:00,26.509954,80.249612,OZONE,15,17,16
India,Uttar_Pradesh,Lucknow,"Gomti Nagar, Lucknow - UPPCB",24-02-2026 15:00,26.86812,81.005119,PM10,41,156,91
India,Uttar_Pradesh,Lucknow,"Gomti Nagar, Lucknow - UPPCB",24-02-2026 15:00,26.86812,81.005119,CO,32,40,36
India,Uttar_Pradesh,Lucknow,"Kukrail Picnic Spot-1, Lucknow - UPPCB",24-02-2026 15:00,26.90723,80.98579,NO2,32,33,32
India,Uttar_Pradesh,Lucknow,"Lalbagh, Lucknow - CPCB",24-02-2026 15:00,26.8458805,80.9365541,CO,22,110,68
India,Uttar_Pradesh,Kanpur,"Nehru Nagar, Kanpur - UPPCB",24-02-2026 15:00,26.4703136,80.3229863,SO2,2,44,14
India,Uttar_Pradesh,Lucknow,"B R Ambedkar University, Lucknow - UPPCB",24-02-2026 15:00,26.766433,80.927299,NH3,4,6,5
India,Uttar_Pradesh,Moradabad,"Kashiram Nagar, Moradabad - UPPCB",24-02-2026 15:00,28.849399,78.742362,PM10,86,197,128
India,Uttar_Pradesh,Moradabad,"Kashiram Nagar, Moradabad - UPPCB",24-02-2026 15:00,28.849399,78.742362,NH3,4,4,4
India,Uttar_Pradesh,Prayagraj,"Motilal Nehru NIT, Prayagraj - UPPCB",24-02-2026 15:00,25.494,81.863,PM10,30,121,76
India,Uttar_Pradesh,Prayagraj,"Motilal Nehru NIT, Prayagraj - UPPCB",24-02-2026 15:00,25.494,81.863,NH3,8,10,9
India,Uttar_Pradesh,Prayagraj,"Motilal Nehru NIT, Prayagraj - UPPCB",24-02-2026 15:00,25.494,81.863,OZONE,4,46,14
India,Uttar_Pradesh,Varanasi,"Ardhali Bazar, Varanasi - UPPCB",24-02-2026 15:00,25.3505986,82.9083074,CO,4,28,17
India,Uttar_Pradesh,Varanasi,"Ardhali Bazar, Varanasi - UPPCB",24-02-2026 15:00,25.3505986,82.9083074,OZONE,9,34,28
India,Uttar_Pradesh,Varanasi,"Bhelupur, Varanasi - UPPCB",24-02-2026 15:00,25.301778,82.996789,NO2,8,8,8
India,Uttar_Pradesh,Varanasi,"Bhelupur, Varanasi - UPPCB",24-02-2026 15:00,25.301778,82.996789,SO2,24,28,27
India,Uttarakhand,Kashipur,"Govt. Girls Inter College, Kashipur - UKPCB",24-02-2026 15:00,29.2124114,78.9611753,NH3,2,4,3
India,Uttarakhand,Kashipur,"Govt. Girls Inter College, Kashipur - UKPCB",24-02-2026 15:00,29.2124114,78.9611753,SO2,7,10,9
India,Uttarakhand,Kashipur,"Govt. Girls Inter College, Kashipur - UKPCB",24-02-2026 15:00,29.2124114,78.9611753,OZONE,4,25,5
India,Uttarakhand,Rishikesh,"Shivaji Nagar, Rishikesh - UKPCB",24-02-2026 15:00,30.075911,78.2859547,NH3,19,38,23
